10,10,15,25,30,30,30,35,35,40,40,40,40,45,45,45,45,50,50,50,50,50,55,55,55,60,60,60,60,60,55,55,55,50,50,45,45,45,45,40,40,40,45,45,45,45,50,50,50,50,50,50,55,55,50,50
10,10,10,15,25,25,30,30,35,35,35,40,40,40,40,45,45,45,45,45,50,50,50,55,55,55,60,60,55,55,55,55,50,50,45,45,45,40,40,40,40,40,40,40,45,45,45,50,50,45,50,50,50,50,50,50
15,10,10,10,15,15,25,25,30,30,35,35,40,40,40,40,45,45,45,45,45,50,50,50,55,55,55,55,55,55,50,50,50,45,45,45,40,40,40,35,35,40,40,40,40,45,45,45,50,45,45,45,50,50,50,45
25,15,10,10,10,15,15,15,25,25,30,30,35,35,40,40,40,40,45,45,45,45,50,50,50,50,55,55,55,50,50,50,45,45,45,40,40,40,35,35,30,35,35,40,40,40,45,45,45,45,45,45,45,50,45,45
30,25,15,10,10,10,10,15,15,25,25,30,30,35,35,40,40,40,40,40,45,45,45,50,50,50,50,50,50,50,50,45,45,45,40,40,40,35,35,30,25,30,35,35,40,40,40,40,45,40,45,45,45,45,45,45
30,25,15,15,10,10,10,10,15,15,25,25,30,30,35,35,40,40,40,40,40,45,45,45,50,50,50,50,50,50,50,45,45,45,40,40,35,35,30,30,25,30,30,35,35,40,40,40,45,40,40,45,45,45,45,40
30,30,25,15,10,10,10,10,15,15,15,25,25,30,30,35,35,40,40,40,40,40,45,45,45,50,50,50,50,50,45,45,45,40,40,35,35,30,30,25,25,25,30,30,35,35,40,40,40,40,40,40,45,45,40,40
35,30,25,15,15,10,10,10,10,10,15,15,25,25,30,35,35,35,40,40,40,40,45,45,45,45,50,50,50,45,45,45,40,40,40,35,30,30,25,25,15,25,25,30,30,35,40,40,40,40,40,40,40,45,40,40
35,35,30,25,15,15,15,10,10,10,10,15,15,25,25,30,30,35,35,35,40,40,40,45,45,45,50,50,45,45,45,45,40,40,35,30,30,25,25,15,15,15,25,25,30,30,35,35,40,35,40,40,40,40,40,40
40,35,30,25,25,15,15,10,10,10,10,10,15,15,25,30,30,30,35,35,40,40,40,40,45,45,45,45,45,45,45,40,40,40,35,30,25,25,15,15,10,15,15,25,25,30,35,35,40,35,35,40,40,40,40,35
40,35,35,30,25,25,15,15,10,10,10,10,15,15,25,25,25,30,30,35,35,40,40,40,40,45,45,45,45,45,40,40,40,35,30,30,25,25,15,10,10,15,15,25,25,30,30,35,35,30,35,35,40,40,40,35
40,40,35,30,30,25,25,15,15,10,10,10,10,15,15,25,25,25,30,30,35,35,40,40,40,45,45,45,45,45,45,40,40,40,35,30,30,25,25,15,10,15,25,25,25,30,35,35,40,35,40,40,40,40,35,30
40,40,40,35,30,30,25,25,15,15,15,10,10,10,15,15,15,25,25,30,30,35,35,40,40,40,45,50,45,45,45,45,40,40,40,35,30,30,25,15,15,25,25,30,30,35,35,40,40,35,40,40,40,35,35,30
45,40,40,35,35,30,30,25,25,15,15,15,10,10,10,15,15,15,25,25,30,30,35,35,40,40,40,50,50,45,45,45,45,40,40,35,35,30,30,25,15,25,30,30,35,35,40,40,40,40,40,40,35,35,30,25
45,40,40,40,35,35,30,30,25,25,25,15,15,10,10,10,10,15,15,25,25,30,30,35,35,40,40,50,50,50,45,45,45,45,40,40,35,35,30,25,25,30,30,35,35,40,40,40,45,40,35,35,30,30,30,25
45,45,40,40,40,35,35,35,30,30,25,25,15,15,10,10,10,10,15,15,15,25,30,30,35,35,40,50,50,50,50,45,45,45,40,40,40,35,35,30,30,30,35,35,40,40,40,40,45,40,35,35,30,30,25,15
